Submission Date,Property ID,Built,Street Address,SQFT,Auditor,Auditor Phone,Audit Company,Audit Date,Window Type,Window Shading Type,Attic Insulation Type,Average R Value,Open Chase,Cooling System,Condenser Mfg Date ,EER ,Heating system,Heat Fuel Type,Furnace Mfg Date ,AFUE ,Duct Leakage (CFM),Duct  Leakage  (%),Duct System Type,Power Partner Participant,Cooling System2,Condenser Mfg Date 2,EER 2,Heating System2,Heat Fuel Type2,Furnace Mfg Date 2,AFUE 2,Pressure Leakage 2 (CFM),Leakage 2 (%),Duct System 2  Type,Door Weather Stripped,Attic Hatches Weather Stripped,Plumbing Penetrations Sealed,Water Heater Type,Toilet Type
11/05/2015 12:00:00 AM,289119,1983," 2500   Burleson RD Unit 707 Austin, TX, 78741",389,Chad Roesch,(512) 636-9728,A-1 Energy Audits,11/05/2015 12:00:00 AM,Single Pane Windows Installed ,buildings providing shading. ,No Access,0,No chases in residence.,CentralAir,2015,11.5,Heat Pump,Electric,Unknown,60,109 CFM,18.20%,Duct Board  ,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
06/17/2016 12:00:00 AM,211308,1980," 3000   GUADALUPE  ST Unit 314 Austin, TX, 78705",394,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,06/17/2016 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,19,No chases in residence.,CentralAir,,8,Central,Electric,Unknown,80,80 CFM,13.30%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
12/13/2016 12:00:00 AM,212711,1981," 3316   Guadalupe ST Unit 302 Austin, TX, 78705",399,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/13/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Access,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,237 CFM,39.50%,Mylar Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
06/30/2016 12:00:00 AM,212720,1981," 3316   GUADALUPE ST Unit 311 Austin, TX, 78705",399,Vance Acker,(512) 922-7522,Green Leaf Energy,06/30/2016 12:00:00 AM,Single Pane Windows Installed ,,No Access,19,No chases in residence.,HeatPump,2001,9,Heat Pump,Electric,90-05,80,145 CFM,24.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
12/22/2015 12:00:00 AM,212726,1981," 3316   guadalupe ST Unit 317 Austin, TX, 78705",399,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/22/2015 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,9.52380952380952,No chases in residence.,HeatPump,,8,Heat Pump,Electric,90-05,60,115 CFM,19.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/21/2016 12:00:00 AM,212665,1980," 3206   King  ST Unit 109 Austin, TX, 78705",400,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/21/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Insulation,0,No chases in residence.,HeatPump,2003,9,Heat Pump,Electric,90-05,60,218 CFM,36.30%,Mylar Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
11/18/2016 12:00:00 AM,212667,1980," 3206   King ST Unit 208 Austin, TX, 78705",400,Kurt Kunkle,(512) 879-3567,Austin Auditors,11/18/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Access,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,90-05,60,179 CFM,29.80%,Grey Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
01/28/2016 12:00:00 AM,287552,1967," 2504   Candlewood CT Unit Apt Austin, TX, 78741",400,Kurt Kunkle,(512) 879-3567,Austin Auditors,01/28/2016 12:00:00 AM,"Single Pane,  Windows Installed ","Awnings,  providing shading. ",Batts- Fiberglass,12.8,No chases in residence.,CentralAir,2002,9,Central,Gas,90-05,80,197 CFM,19.70%,Sheet Metal,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
05/20/2016 12:00:00 AM,544618,1981," 2107   RIO GRANDE ST Unit 2 Austin, TX, 78705",400,Vance Acker,(512) 922-7522,Green Leaf Energy,05/20/2016 12:00:00 AM,Single Pane Windows Installed ,,No Access,19,No chases in residence.,HeatPump,1993,9,Heat Pump,Electric,90-05,80,125 CFM,20.80%,Mylar Flex  Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
08/29/2016 12:00:00 AM,215836,1981," 4401   Speedway   Unit 107 Austin, TX, 78751",414,Chad Roesch,(512) 636-9728,A-1 Energy Audits,08/29/2016 12:00:00 AM,Double Pane Windows Installed ,trees providing shading. ,No Access,0,No chases in residence.,CentralAir,2005,11.5,Central,Gas,90-05,80,153 CFM,19.10%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
11/03/2016 12:00:00 AM,218339,1954," 4532   Duval ST Unit B Austin, TX, 78751",420,Kurt Kunkle,(512) 879-3567,Austin Auditors,11/03/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Access,0,No chases in residence.,Window Unit,,8,None,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,NaturalGas,1 Low efficiency toilet(s)
12/15/2015 12:00:00 AM,196787,1973," 1212   Guadalupe ST Unit 203 Austin, TX, 78701",422,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/15/2015 12:00:00 AM,Single Pane Windows Installed ,Solar Film providing shading. ,No Insulation,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60, CFM,0.00%,Sheet Metal,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
11/17/2015 12:00:00 AM,511897,1982," 6903   Deatonhill DR Unit 46 Austin, TX, 78745",426,Vance Acker,(512) 922-7522,Green Leaf Energy,11/17/2015 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,19,No chases in residence.,CentralAir,1983,8,Central,Electric,Unknown,60,175 CFM,29.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
06/27/2016 12:00:00 AM,742905,1970," 304 E 33 ST Unit 8 Austin, TX, 78705",432,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,06/27/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ","Awnings, Trees providing shading. ",No Access,11,No chases in residence.,Mini-split Heat Pump,2012,11.5,Mini-split Heat Pump,Gas,Unknown,80, CFM,0.00%,N/A - Mini-split Heat Pump,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetrations are sealed,NaturalGas,1 High efficiency toilet(s)
03/22/2016 12:00:00 AM,739634,1946," 3309   Helms ST Austin, TX, 78705",440,Kurt Kunkle,(512) 879-3567,Austin Auditors,03/22/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,Batts- Fiberglass,12.8,No chases in residence.,Window Unit,,8,Space Heater,Gas,Unknown,80,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Yes,Plumbing penetration sealing needed,NaturalGas,1 Low efficiency toilet(s)
11/17/2016 12:00:00 AM,286150,1984," 1840   Burton DR Unit 154 Austin, TX, 78741",464,Kurt Kunkle,(512) 879-3567,Austin Auditors,11/17/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,LF- Fiberglass & Insulsafe,11,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,211 CFM,35.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,No,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/28/2015 12:00:00 AM,286166,1984," 1840   Burton DR Unit 106 Austin, TX, 78741",464,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/28/2015 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Insulation,0,No chases in residence.,HeatPump,1984,8,Heat Pump,Electric,Unknown,60,203 CFM,33.80%,Mylar Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/04/2015 12:00:00 AM,232039,1949," 1200   Justin LN Unit B Austin, TX, 78757",472,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/04/2015 12:00:00 AM,Single Pane Windows Installed ,"Awnings, Trees providing shading. ",No Insulation,0,No chases in residence.,Window Unit,,8,Space Heater,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetrations are sealed,NaturalGas,1 High efficiency toilet(s)
03/17/2016 12:00:00 AM,215769,1946," 4414   Speedway A   Austin, TX, 78751",480,Chad Roesch,(512) 636-9728,A-1 Energy Audits,03/17/2016 12:00:00 AM,Single Pane Windows Installed ,trees providing shading. ,LF- Fiberglass & Insulsafe,4.4,No chases in residence.,Window Unit,,8,Wall Furnace,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
03/17/2016 12:00:00 AM,215769,1952," 4414   Speedway B   Austin, TX, 78751",480,Chad Roesch,(512) 636-9728,A-1 Energy Audits,03/17/2016 12:00:00 AM,Single Pane Windows Installed ,trees providing shading. ,LF- Fiberglass & Insulsafe,4.4,No chases in residence.,Window Unit,,8,Space Heater,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
05/02/2016 12:00:00 AM,729592,1972," 2302   Eastside  DR Unit 25 Austin, TX, 78704",482,Coby Sackett,(512) 466-7679,Earth Energy Audits,05/02/2016 12:00:00 AM,Single Pane Windows Installed ,Tree Cover  providing shading. ,No Access,11,No chases in residence.,CentralAir,2001,9,Central,Electric,90-05,60,202 CFM,33.70%,Sheet Metal,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/18/2015 12:00:00 AM,499460,2001," 901 W 9 ST Unit 317 Austin, TX, 78703",484,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,12/18/2015 12:00:00 AM,Double Pane Windows Installed ,Awnings providing shading. ,No Access,26,No chases in residence.,CentralAir,,8,Central,Electric,Unknown,60, CFM,0.00%,Sheet Metal,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
05/09/2016 12:00:00 AM,752885,1974," 1700   Nueces  ST Unit 206 Austin, TX, 78701",488,Coby Sackett,(512) 563-3913,Green Austin Energy Audits,05/09/2016 12:00:00 AM,Double Pane Windows Installed ,Tree Cover  providing shading. ,No Access,11,No chases in residence.,CentralAir,2005,11.5,Central,Electric,90-05,60,287 CFM,47.80%,Mylar Flex  Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
10/20/2016 12:00:00 AM,761471,1964," 2020 S Congress AVE Unit 1208 Austin, TX, 78704",489,Kurt Kunkle,(512) 879-3567,Austin Auditors,10/20/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",Trees providing shading. ,No Access,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,211 CFM,35.20%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
01/04/2016 12:00:00 AM,761498,1964," 2020 S Congress AVE Unit 1319 Austin, TX, 78704",489,Coby Sackett,(512) 466-7679,Earth Energy Audits,01/04/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",Awnings providing shading. ,No Access,11,No chases in residence.,CentralAir,2005,11.5,Central,Electric,90-05,60,212 CFM,35.30%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
12/23/2016 12:00:00 AM,761488,1964," 2020 S CONGRESS AVE Unit 1226 Austin, TX, 78704",490,Kurt Kunkle,512 8793567,Austin Auditors,12/23/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",,No Access,0,No chases in residence.,HeatPump,1111,8,Heat Pump,Electric,Unknown,60,213 CFM,35.50%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,Unknown
06/13/2016 12:00:00 AM,459534,1983," 301 E 4th ST Unit 309 Austin, TX, 78701",494,Coby Sackett,(512) 563-3913,Green Austin Energy Audits,06/13/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",Awnings providing shading. ,No Access,19,No chases in residence.,CentralAir,2009,11.5,Central,Electric,post-06,60,262 CFM,43.70%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
11/08/2016 12:00:00 AM,112452,1952," 1010 W 22nd  ST Unit B Austin, TX, 78705",500,Kurt Kunkle,(512) 879-3567,Austin Auditors,11/08/2016 12:00:00 AM,Single Pane Windows Installed ,Solar Screens providing shading. ,LF- Cellulose,14,No chases in residence.,Window Unit,,8,None,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
03/24/2016 12:00:00 AM,284946,1964," 1604   Parker LN Unit A Austin, TX, 78741",500,Kurt Kunkle,(512) 879-3567,Austin Auditors,03/24/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",Awnings providing shading. ,LF- Fiberglass & Insulsafe,8.8,No chases in residence.,Window Unit,,8,None,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
03/24/2016 12:00:00 AM,284948,1964," 1608   Parker  LN Unit A Austin, TX, 78741",500,Kurt Kunkle,(512) 879-3567,Austin Auditors,03/24/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",Trees providing shading. ,LF- Fiberglass & Insulsafe,6.6,No chases in residence.,Window Unit,,8,None,Electric,Unknown,60,N/A,N/A,No duct system,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,NaturalGas,1 High efficiency toilet(s)
10/26/2016 12:00:00 AM,749416,1979," 407 E 45th ST Unit 114 Austin, TX, 78751",500,Jay Hill - austinaes@yahoo.com,(512) 565-2700,AES ,10/26/2016 12:00:00 AM,"Double Pane, Low E Windows Installed ",,No Access,0,No chases in residence.,CentralAir,,8,Central,Gas,post-06,80,78 CFM,9.80%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
08/19/2016 12:00:00 AM,749419,1979," 407 E 45th ST Unit 201 Austin, TX, 78751",500,Kurt Kunkle,(512) 879-3567,Austin Auditors,08/19/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Insulation,0,No chases in residence.,CentralAir,,8,Central,Gas,post-06,80,198 CFM,33.00%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
05/06/2016 12:00:00 AM,208241,1981," 2815   RIO GRANDE ST Unit 207 Austin, TX, 78705",509,Vance Acker,(512) 922-7522,Green Leaf Energy,05/06/2016 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,18.4,No chases in residence.,HeatPump,1999,9,Heat Pump,Electric,90-05,60,165 CFM,27.50%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
05/24/2016 12:00:00 AM,545969,1983," 4405   Avenue A   Unit 1 Austin, TX, 78751",509,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,05/24/2016 12:00:00 AM,Single Pane Windows Installed ,"Awnings, Trees providing shading. ",No Access,19,No chases in residence.,CentralAir,1999,9,Central,Electric,90-05,80,160 CFM,26.70%,Grey Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
04/01/2016 12:00:00 AM,733179,1986," 12166   Metric  BLVD Unit 111 Austin, TX, 78758",516,Vianca Baron,(512) 879-3567,Austin Auditors,04/01/2016 12:00:00 AM,"Single Pane, Double Pane, Low E Windows Installed ","Awnings, Trees providing shading. ",No Access,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,137 CFM,22.80%,Mylar Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,No weather-stripping,Not checked,Plumbing penetrations are sealed,Electric,1 High efficiency toilet(s)
05/09/2016 12:00:00 AM,733201,1986," 12166   Metric  BLVD Unit 135 Austin, TX, 78758",516,Coby Sackett,(512) 466-7679,Earth Energy Audits,05/09/2016 12:00:00 AM,"Single Pane, Double Pane Windows Installed ","Awnings, Tree Cover  providing shading. ",No Access,22,No chases in residence.,CentralAir,2012,11.5,Central,Electric,90-05,60,58 CFM,9.70%,Grey Flex  Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetrations are sealed,Electric,1 High efficiency toilet(s)
03/04/2016 12:00:00 AM,733264,1986," 12166   Metric  BLVD Unit 214 Austin, TX, 78758",516,Kurt Kunkle,(512) 879-3567,Austin Auditors,03/04/2016 12:00:00 AM,Single Pane Windows Installed ,Awnings providing shading. ,No Access,0,No chases in residence.,HeatPump,2007,11.5,Heat Pump,Electric,Unknown,60,80 CFM,10.00%,Mylar Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
11/03/2016 12:00:00 AM,733283,1986," 12166   Metric  BLVD Unit 233 Austin, TX, 78758",516,Chad Roesch,(512) 636-9728,A-1 Energy Audits,11/03/2016 12:00:00 AM,Single Pane Windows Installed ,trees providing shading. ,No Access,0,No chases in residence.,CentralAir,2006,11.5,Other,Electric,pre-90,60,121 CFM,20.20%,Duct Board  ,N/A,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
12/06/2016 12:00:00 AM,733284,1986," 12166   Metric BLVD Unit 234 Austin, TX, 78758",516,Jay Hill - austinaes@yahoo.com,(512) 565-2700,AES ,12/06/2016 12:00:00 AM,Single Pane Windows Installed ,,LF- Fiberglass & Insulsafe,22,No chases in residence.,CentralAir,2011,11.5,Central,Electric,pre-90,60,42 CFM,7.00%,Grey Flex  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
02/03/2016 12:00:00 AM,545387,1983," 3115   Helms ST Unit 118 Austin, TX, 78705",517,Quincy Bishop,(512) 730-9652,Austin's ECAD Specialist,02/03/2016 12:00:00 AM,Single Pane Windows Installed ,"Awnings, Trees providing shading. ",No Access,19,No chases in residence.,CentralAir,,8,Central,Electric,Unknown,60, CFM,> 80 %,Mylar Flex  Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,NaturalGas,1 Low efficiency toilet(s)
12/14/2016 12:00:00 AM,286138,1984," 1840   Burton DR Unit 142 Austin, TX, 78741",518,Kurt Kunkle,(512) 879-3567,Austin Auditors,12/14/2016 12:00:00 AM,Single Pane Windows Installed ,Trees providing shading. ,No Insulation,0,No chases in residence.,HeatPump,,8,Heat Pump,Electric,Unknown,60,211 CFM,21.10%,Duct Board  ,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,Not checked,Plumbing penetration sealing needed,Electric,1 High efficiency toilet(s)
07/25/2016 12:00:00 AM,750535,1964," 1510 W 6th ST Austin, TX, 78703",528,Vance Acker,(512) 922-7522,Green Leaf Energy,07/25/2016 12:00:00 AM,"Single Pane, Double Pane Windows Installed ",,No Access,11,No chases in residence.,CentralAir,,8,Central,Electric,90-05,80,N/A,N/A,No duct system,No,None,,8,None,Electric,post-06,60,N/A,N/A,No second duct system,Yes,No,Plumbing penetration sealing needed,Electric,1 Low efficiency toilet(s)
